Modified;File
M;arch/alpha/include/asm/atomic.h
M;arch/alpha/include/asm/barrier.h
M;arch/alpha/include/asm/bitops.h
D;arch/alpha/include/asm/cputime.h
M;arch/alpha/include/asm/io.h
M;arch/alpha/include/asm/machvec.h
M;arch/alpha/include/asm/pal.h
M;arch/alpha/include/asm/pci.h
M;arch/alpha/include/asm/pgalloc.h
M;arch/alpha/include/asm/processor.h
M;arch/alpha/include/asm/ptrace.h
M;arch/alpha/include/asm/rtc.h
D;arch/alpha/include/asm/scatterlist.h
D;arch/alpha/include/asm/sections.h
M;arch/alpha/include/asm/string.h
A;arch/alpha/include/asm/syscall.h
M;arch/alpha/include/asm/thread_info.h
M;arch/alpha/include/asm/unistd.h
M;arch/alpha/include/uapi/asm/errno.h
M;arch/alpha/include/uapi/asm/ioctls.h
M;arch/alpha/include/uapi/asm/pal.h
M;arch/alpha/include/uapi/asm/socket.h
M;arch/alpha/include/uapi/asm/unistd.h
M;arch/alpha/kernel/alpha_ksyms.c
A;arch/alpha/kernel/audit.c
M;arch/alpha/kernel/irq_alpha.c
M;arch/alpha/kernel/machvec_impl.h
M;arch/alpha/kernel/osf_sys.c
M;arch/alpha/kernel/pci-sysfs.c
M;arch/alpha/kernel/pci.c
M;arch/alpha/kernel/pci_iommu.c
M;arch/alpha/kernel/perf_event.c
M;arch/alpha/kernel/process.c
M;arch/alpha/kernel/proto.h
M;arch/alpha/kernel/ptrace.c
A;arch/alpha/kernel/rtc.c
M;arch/alpha/kernel/setup.c
M;arch/alpha/kernel/smp.c
M;arch/alpha/kernel/sys_jensen.c
M;arch/alpha/kernel/sys_marvel.c
M;arch/alpha/kernel/time.c
M;arch/alpha/kernel/traps.c
M;arch/alpha/lib/csum_partial_copy.c
M;arch/arc/include/asm/arcregs.h
M;arch/arc/include/asm/atomic.h
D;arch/arc/include/asm/barrier.h
M;arch/arc/include/asm/bitops.h
M;arch/arc/include/asm/bug.h
M;arch/arc/include/asm/cache.h
M;arch/arc/include/asm/current.h
M;arch/arc/include/asm/irq.h
M;arch/arc/include/asm/irqflags.h
M;arch/arc/include/asm/kgdb.h
M;arch/arc/include/asm/linkage.h
M;arch/arc/include/asm/mach_desc.h
M;arch/arc/include/asm/mmu.h
